sample_index,dice_score,iou_score,uncertainty,precision,recall,f1_score,specificity
147,0.9900141358375549,0.9802138209342957,0.27073568,0.9942759827806424,0.985788659068524,0.9900141309467735,0.9994975562923828
148,0.988897442817688,0.9780266284942627,0.26783794,0.9920581113801453,0.9857569050139544,0.988897470554161,0.9993205226962019
149,0.9898409247398376,0.9798737168312073,0.2649919,0.9896447505326265,0.9900371747211896,0.9898409237325932,0.9991362529869564
150,0.9907932877540588,0.9817417860031128,0.2620743,0.9972580481364882,0.9844118089318831,0.9907932904527683,0.999777037317347
151,0.9855490326881409,0.9714969992637634,0.25905475,0.9960429032593981,0.975274024980882,0.9855490584992659,0.9996866354085503
152,0.9861059784889221,0.9725795984268188,0.25603405,0.9962107060895554,0.9762041734218921,0.9861059749590575,0.9997078465783086
153,0.9887143969535828,0.9776670336723328,0.25295362,0.9939164748438014,0.9835665473478685,0.9887144259077527,0.9995445331629113
154,0.9872511029243469,0.9748090505599976,0.24998514,0.9841975030930155,0.990323675871435,0.9872510859141422,0.9988505841118867
155,0.9894905090332031,0.9791852831840515,0.24723311,0.9975814810549349,0.9815297450424929,0.9894905186200594,0.9998282166392638
156,0.9832466840744019,0.9670311808586121,0.24460936,0.9970557060416912,0.9698149951314509,0.983246711767951,0.9997956556347966
157,1.0,3.8146963561302982e-06,0.00015318568,0.0,0.0,0.0,0.9999999999961853
158,0.9904744625091553,0.9811135530471802,0.2418545,0.9952895706262456,0.9857057416267943,0.9904744733916283,0.999682182667548
159,0.9898908734321594,0.9799684882164001,0.2390746,0.9913926558920056,0.988393628843067,0.9898908708690142,0.9994348352849836
160,0.9902647733688354,0.9807012677192688,0.23628744,0.9904218204884238,0.9901077996195308,0.9902647851593468,0.9993871106488534
161,0.9880177974700928,0.9763031601905823,0.23351984,0.9967505036719309,0.9794367456414841,0.9880177800682858,0.9997971478954103
162,0.9894562363624573,0.9791157841682434,0.23095372,0.9937395937395938,0.9852096401452625,0.9894562334217507,0.9996194316535709
163,0.9873719215393066,0.9750418066978455,0.22799765,0.9924729711235801,0.9823230612935997,0.9873719323326186,0.9995553381612846
164,0.9860914945602417,0.9725469946861267,0.22388116,0.9916222932197373,0.9806220599592782,0.9860914995763909,0.9995240035296367
165,0.9837263226509094,0.9679555296897888,0.21959019,0.987113974672295,0.9803618711385702,0.9837263367651943,0.9992999340127489
166,0.9926741123199463,0.9854350686073303,0.21477334,0.994408635551759,0.9909456740442656,0.992674134656382,0.999711100942133
167,0.9890074133872986,0.9782333970069885,0.21002655,0.9931568228105906,0.9848925513006948,0.9890074230316798,0.9996636852053535
168,1.0,3.8146963561302982e-06,0.00014558964,0.0,0.0,0.0,0.9999999999961853
169,0.9868984818458557,0.9741144776344299,0.20505436,0.9958925209652576,0.9780653836456845,0.9868984524061903,0.9998081879717884
170,0.9898396730422974,0.9798609018325806,0.19993962,0.9882777276825969,0.9914066033469019,0.9898396929329419,0.9994822552919503
171,0.9875963926315308,0.975472629070282,0.19479778,0.9820935327174016,0.9931612406087459,0.9875963794837412,0.9992532629983903
172,0.9877636432647705,0.9757980704307556,0.18992162,0.996787471137436,0.9789017056097802,0.9877636291285317,0.9998730163729513
173,0.9886285662651062,0.9774861335754395,0.18496501,0.9911973698165235,0.9860730111837941,0.9886285502723859,0.9996715030870806
174,0.9854555726051331,0.9713003039360046,0.17969462,0.9943769680611786,0.9766928090135867,0.985455558651435,0.9998024425957469
